ProductCode,CategoryIDs
SAR-BABY-BAMBONI-LITE-FOR-ABC,"207,196"
SAR-BABY-BMB-LITE-SETS,"207,196"
SAR-BAMBONI-HAT,"208,196"
SAR-BAMBONI-SETS,"208,196"
SAR-BAMBONI-SNUGGLER,"208,196"
SAR-BAMBONI-SOCKS,"208,196"
SAR-BAMBONI-TODDLER-BLANKET,"206,196"
SAR-BAMBONI-TWIN-BLANKETS,"209,196"
SAR-BATMAN-DBL-LAYER-BMB,"206,196"
SAR-BATMAN-MNKY-LUSH,"206,196"
SAR-BMB-HATS,"208,196"
SAR-BMB-SETS,"208,196"
SAR-BMB-SNUGGLER,"208,196"
SAR-BMB-SOCKS,"208,196"
SAR-BMB-TOD,"206,196"
SAR-BMB-TWIN,"209,196"
SAR-BMBU-RYN-MSLN-4-LAYER,"209,196"
SAR-BMBU-RYN-MSLN-PILLOWCA,"209,196"
SAR-BMBU-RYN-MSLN-QUEEN-KING,"209,196"
SAR-BMBU-RYN-MSLN-XL-LG-4,"209,196"
SAR-BOY-WHO-LIVED-DBL-LAYER,"206,196"
SAR-CHNK-KNT-LG,"205,196"
SAR-COTTON-MSLN-4-LAYER,"209,196"
SAR-COZY-BMB-ROBES,"208,196"
SAR-DBL-LAYER-BMB-TOD,"206,196"
SAR-DBL-RCH-FX-FUR,"205,196"
SAR-DBL-RCH-FX-FUR-XL-LG,"205,196"
SAR-DREAM-TOD,"206,196"
SAR-ELF-SNUGGLER,"208,196"
SAR-FX-FUR-FULL-QUEEN,"209,196"
SAR-FX-FUR-KING,"209,196"
SAR-FX-FUR-PILLOWCA,"209,196"
SAR-FX-FUR-TOD,"206,196"
SAR-FX-FUR-TWIN,"209,196"
SAR-GRAND-FX-FUR,"205,196"
SAR-GRAND-FX-FUR-12X20,"209,196"
SAR-GRAND-FX-FUR-2-PACK-EURO,"209,196"
SAR-GRAND-FX-FUR-KING,"209,196"
SAR-GRAND-FX-FUR-QUEEN,"209,196"
SAR-GRAND-FX-FUR-ROBES,"208,196"
SAR-GRAND-FX-FUR-XL-LG,"205,196"
SAR-HEIRLOOM-COTTON-KNT-SETS,"205,196"
SAR-HOGWARTS-CREST-DBL-LAYER,"205,196"
SAR-HP-HP-ICONS-MNKY-LUSH,"206,196"
SAR-HP-HP-MSLN-NRS,"207,196"
SAR-JL-JL-MSLN-LUSH,"206,196"
SAR-JL-JL-SNUGGLER,"208,196"
SAR-LUSH,"205,196"
SAR-LUSH-MINI,"207,196"
SAR-LUSH-RCV,"207,196"
SAR-LUSH-TOD,"206,196"
SAR-LUSH-XL-LG,"205,196"
SAR-MNKY-LUSH,"205,196"
SAR-MNKY-LUSH-TOD,"206,196"
SAR-MNKY-LUSH-XL-LG,"205,196"
SAR-MNKY-PLAY-MAT,"207,196"
SAR-MNKY-STR,"205,196"
SAR-MNKY-STR-LUXE-ROBES,"208,196"
SAR-MNKY-STR-XL-LG,"205,196"
SAR-PLEATED-DUST-RUFFLE,"209,196"
SAR-PLSH-FX-FUR,"205,196"
SAR-PTR-RBT-BMBU-RYN-MSLN-02,"206,196"
SAR-PTR-RBT-BMBU-RYN-MSLN-2,"206,196"
SAR-PTR-RBT-COTTON-MSLN,"206,196"
SAR-PTR-RBT-COTTON-MSLN-CRIB,"209,196"
SAR-PTRN-FX-FUR,"205,196"
SAR-PTRN-FX-FUR-XL-LG,"205,196"
SAR-RIBBED-BMB,"205,196"
SAR-RIBBED-BMB-QUEEN-KING,"209,196"
SAR-RIBBED-BMB-XL-LG,"205,196"
SAR-SATIN-BACK-TOD,"206,196"
SAR-SATIN-BORDER-TOD,"206,196"
SAR-SAUCER-CHAIR,196
SAR-SNUGGLE-UP-CHAIR,196
SAR-SNUGGLER,"208,196"
SAR-STRETCHY-SWADDLES-HATS,"208,196"
SAR-STUFFED-ANIMALS,196
SAR-STUFFED-ANML-LVYS,"207,196"
SAR-STUFFED-ANML-ROCKERS,196
SAR-SUPERMAN-DBL-LAYER-BMB,"206,196"
SAR-SUPERMAN-MNKY-LUSH,"206,196"
SAR-VERY-HGRY-CAT-MNKY-STR,"206,196"
SAR-WEARABLE,"208,196"
SAR-WFL-KNT,"205,196"
SAR-WFL-KNT-KING,"209,196"
SAR-WFL-KNT-QUEEN,"209,196"
SAR-WFL-KNT-ROBES,"208,196"
SAR-WFL-KNT-TOD,"206,196"
SAR-WFL-KNT-TWIN,"209,196"
SAR-WFL-KNT-XL-LG,"205,196"
SAR-WIZARDIN-WORLD-CHARM,"206,196"
SAR-WONDER-WOMAN-DBL-LAYER,"206,196"
SAR-WONDER-WOMAN-MNKY-LUSH,"206,196"
